"order_item_id","order_id","product_id","quantity","price","seller_id","shipping_limit_date","freight_value"
1,"00010242fe8c5a6d1ba2dd792cb16214","4244733e06e7ecb4970a6e2683c13e61",,58.90,"48436dade18ac8b2bce089ec2a041202","2017-09-19 09:45:35",13.29
1,"00018f77f2f0320c557190d7a144bdd3",e5f2d52b802189ee658865ca93d83a8f,,239.90,dd7ddc04e1b6c2c614352b383efe2d36,"2017-05-03 11:05:13",19.93
1,"000229ec398224ef6ca0657da4fc703e",c777355d18b72b67abbeef9df44fd0fd,,199.00,"5b51032eddd242adc84c38acab88f23d","2018-01-18 14:48:30",17.87
1,"00024acbcdf0a6daa1e931b038114c75","7634da152a4610f1595efa32f14722fc",,12.99,"9d7a1d34a5052409006425275ba1c2b4","2018-08-15 10:10:18",12.79
1,"00042b26cf59d7ce69dfabb4e55b4fd9",ac6c3623068f30de03045865e4e10089,,199.90,df560393f3a51e74553ab94004ba5c87,"2017-02-13 13:57:51",18.14
1,"00048cc3ae777c65dbb7d2a0634bc1ea",ef92defde845ab8450f9d70c526ef70f,,21.90,"6426d21aca402a131fc0a5d0960a3c90","2017-05-23 03:55:27",12.69
1,"00054e8431b9d7675808bcb819fb4a32","8d4f2bb7e93e6710a28f34fa83ee7d28",,19.90,"7040e82f899a04d1b434b795a43b4617","2017-12-14 12:10:31",11.85
1,"000576fe39319847cbb9d288c5617fa6","557d850972a7d6f792fd18ae1400d9b6",,810.00,"5996cddab893a4652a15592fb58ab8db","2018-07-10 12:30:45",70.75
1,"0005a1a1728c9d785b8e2b08b904576c","310ae3c140ff94b03219ad0adc3c778f",,145.95,a416b6a846a11724393025641d4edd5e,"2018-03-26 18:31:29",11.65
1,"0005f50442cb953dcd1d21e1fb923495","4535b0e1091c278dfd193e5a1d63b39f",,53.99,ba143b05f0110f0dc71ad71b4466ce92,"2018-07-06 14:10:56",11.4
1,"00061f2a7bc09da83e415a52dc8a4af1",d63c1011f49d98b976c352955b1c4bea,,59.99,cc419e0650a3c5ba77189a1882b7556a,"2018-03-29 22:28:09",8.88
1,"00063b381e2406b52ad429470734ebd5",f177554ea93259a5b282f24e33f65ab6,,45.00,"8602a61d680a10a82cceeeda0d99ea3d","2018-07-31 17:30:39",12.98
1,"0006ec9db01a64e59a68b2c340bf65a7","99a4788cb24856965c36a24e339b6058",,74.00,"4a3ca9315b744ce9f8e9374361493884","2018-07-26 17:24:20",23.32
1,"0008288aa423d2a3f00fcb17cd7d8719","368c6c730842d78016ad823897a372db",,49.90,"1f50f920176fa81dab994f9023523100","2018-02-21 02:55:52",13.37
2,"0008288aa423d2a3f00fcb17cd7d8719","368c6c730842d78016ad823897a372db",,49.90,"1f50f920176fa81dab994f9023523100","2018-02-21 02:55:52",13.37
1,"0009792311464db532ff765bf7b182ae","8cab8abac59158715e0d70a36c807415",,99.90,"530ec6109d11eaaf87999465c6afee01","2018-08-17 12:15:10",27.65
1,"0009c9a17f916a706d71784483a5d643","3f27ac8e699df3d300ec4a5d8c5cf0b2",,639.00,fcb5ace8bcc92f75707dc0f01a27d269,"2018-05-02 09:31:53",11.34
1,"000aed2e25dbad2f9ddb70584c5a2ded","4fa33915031a8cde03dd0d3e8fb27f01",,144.00,fe2032dab1a61af8794248c8196565c9,"2018-05-16 20:57:03",8.77
1,"000c3e6612759851cc3cbb4b83257986",b50c950aba0dcead2c48032a690ce817,,99.00,"218d46b86c1881d022bce9c68a7d4b15","2017-08-21 03:33:13",13.71
1,"000e562887b1f2006d75e0be9558292e","5ed9eaf534f6936b51d0b6c5e4d5c2e9",,25.00,"8cbac7e12637ed9cffa18c7875207478","2018-02-28 12:08:37",16.11
