"category","total_revenue","total_orders"
health_beauty,1258681.34,8836
watches_gifts,1205005.68,5624
bed_bath_table,1036988.68,9417
sports_leisure,988048.97,7720
computers_accessories,911954.32,6689
furniture_decor,729762.49,6449
cool_stuff,635290.85,3632
housewares,632248.66,5884
auto,592720.11,3897
garden_tools,485256.46,3518
toys,483946.60,3886
baby,411764.89,2885
perfumery,399124.87,3162
telephony,323667.53,4199
office_furniture,273960.70,1273
stationery,230943.23,2311
computers,222963.13,181
pet_shop,214315.41,1710
musical_instruments,191498.88,628
small_appliances,190648.58,630
